"strain_id","X1","X2","X3","X4","X5","X6"
"s115",0.111245958074851,0.345148043641264,0.479517047612512,0.837429466456393,0.556438598940847,0.0704947062577286
"s115",0.0689082670336838,0.32297386893451,0.552969363496655,0.914092091156111,0.59015052996633,0.0131148072931957
"s115",0.0934130437528101,0.35961995945769,0.533572229912172,0.814017660406748,0.629009183411162,0.140878409906516
"s115",0.0820282379160227,0.374011026109119,0.523155363958837,0.827851574249704,0.60923735925553,0.0920275573425048
"s115",0.115894475841138,0.37276535595981,0.527801199294127,0.856924680065964,0.614313918780157,0.101438830943124
"s115",0.114829411670538,0.346020558981998,0.424683976679647,0.858556012953034,0.605006789878212,0.0643009285356561
"s115",0.102472577752425,0.357228070087648,0.473033763235573,0.784502911617764,0.59292881334438,0.0624666060817993
"s115",0.129984066609333,0.375033836645072,0.431553442267379,0.791707715194864,0.594473822332428,0.0321764060798187
"s73",0.173864104989893,0.400957221989005,0.399112496169216,0.806087906777914,0.638551947959891,0.408432323783409
"s73",0.179248034670907,0.299886219864,0.441312849570939,0.880657451215618,0.6632657725025,0.380721219503208
"s73",0.166504941624437,0.360026398497001,0.42394393199485,0.749635554963562,0.616527234069695,0.31711852464855
"s73",0.164780041067087,0.38556061124645,0.359838331314477,0.875378509094878,0.647823801885823,0.295001418043931
"s73",0.147334600993481,0.333746710802283,0.350302482486707,0.807327113543929,0.602300025228695,0.276810716271887
"s73",0.157556453915623,0.392051544134925,0.282006413766157,0.810843342376922,0.681710699275557,0.315484467057943
"s73",0.15612456893939,0.360108818052112,0.398406983538592,0.815540516144874,0.656706469740336,0.310690051328665
"s73",0.165666948591301,0.433314818310988,0.451903663518909,0.773441071570806,0.672638050645515,0.349335951412444
"s38",0.112465550052457,0.342172101515433,0.444032515697911,0.809678764216581,0.66382081282062,0.480710529276809
"s38",0.0991530092525761,0.326985616124932,0.402058429510952,0.794803290562097,0.701183333131672,0.512572293753347
"s38",0.106744243667142,0.354475207150355,0.344775951643728,0.853261276990448,0.713873456613166,0.483095774174757
"s38",0.0705933175614696,0.331262062702856,0.512486622851733,0.88022342916524,0.704155635365859,0.582407055616773
"s38",0.0949574335759741,0.303849509941156,0.45762722906529,0.822782152129621,0.671853439501203,0.529546418436615
"s38",0.0812346914401748,0.332950988971861,0.346556073066635,0.867204553897388,0.715118153000666,0.599572713129318
"s38",0.0752560307594068,0.325912794060787,0.393078240248164,0.861176432355489,0.718971957125068,0.49294738603379
"s38",0.0912928790171952,0.345687599620298,0.33178366093082,0.910626923657687,0.655131263962265,0.544793393172963
"s169",0.392485400758843,0.430284043170708,0.423382511398572,0.707096416291321,0.669088633867941,0.477524533248959
"s169",0.353974721851719,0.323873014662667,0.434248255255691,0.643307724209276,0.654249259521857,0.584934424549638
"s169",0.394507462372885,0.350468689552327,0.396008116412833,0.619167857033078,0.674856659332516,0.597351191831882
"s169",0.401283552241641,0.260765228183471,0.455824675121671,0.668061823434955,0.651786644792384,0.6156591312686
"s169",0.395873862599704,0.356300874011227,0.503929909960372,0.625552758571279,0.658796783841133,0.530292989262159
"s169",0.379838791404852,0.350571868059899,0.423900308816236,0.691273120155149,0.661602149985741,0.525237747658142
"s169",0.382816528122355,0.303994075909307,0.43280050469452,0.666676065112009,0.652069811037471,0.647869200573416
"s169",0.384600098965066,0.345425049152377,0.313245572952171,0.665033075879351,0.629163479377324,0.548540836624591
"s196",0.423779486008321,0.397163847178005,0.340190159311126,0.741760642398513,0.776254893020064,0.735212491298486
